ID,Abundance,Type2
oan,0.615384615385,acyl-CoA synth
rme,0.666666666667,acyl-CoA synth
ebd,0.5,acyl-CoA synth
cbe,0.538461538462,acyl-CoA synth
las,0.615384615385,acyl-CoA synth
cco,0.5,acyl-CoA synth
clj,0.416666666667,acyl-CoA synth
lpc,0.615384615385,acyl-CoA synth
bbi,0.5,acyl-CoA synth
coc,0.0555555555556,acyl-CoA synth
cbf,0.416666666667,acyl-CoA synth
gbr,0.666666666667,acyl-CoA synth
bov,0.222222222222,acyl-CoA synth
shm,0.277777777778,acyl-CoA synth
bps,0.277777777778,acyl-CoA synth
bav,0.538461538462,acyl-CoA synth
pfl,0.388888888889,acyl-CoA synth
ank,0.222222222222,acyl-CoA synth
oca,0.5,acyl-CoA synth
dpr,0.666666666667,acyl-CoA synth
cow,0.230769230769,acyl-CoA synth
gka,0.666666666667,acyl-CoA synth
bfl,0.538461538462,acyl-CoA synth
npu,0.5,acyl-CoA synth
bmc,0.5,acyl-CoA synth
bmc,0.166666666667,acyl-CoA synth
gbm,0.538461538462,acyl-CoA synth
tws,0.25,acyl-CoA synth
emi,0.166666666667,acyl-CoA synth
abo,0.5,acyl-CoA synth
fnu,0.416666666667,acyl-CoA synth
sak,0.0555555555556,acyl-CoA synth
rmr,0.666666666667,acyl-CoA synth
ecf,0.5,acyl-CoA synth
cpb,0.416666666667,acyl-CoA synth
apa,0.538461538462,acyl-CoA synth
ecf,0.615384615385,acyl-CoA synth
cpc,0.5,acyl-CoA synth
vex,0.416666666667,acyl-CoA synth
ipa,0.538461538462,acyl-CoA synth
sal,0.538461538462,acyl-CoA synth
ipa,0.416666666667,acyl-CoA synth
pcr,0.277777777778,acyl-CoA synth
sit,0.666666666667,acyl-CoA synth
hil,0.5,acyl-CoA synth
hil,0.538461538462,acyl-CoA synth
bqu,0.5,acyl-CoA synth
acm,0.111111111111,acyl-CoA synth
pla,0.333333333333,acyl-CoA synth
sul,0.538461538462,acyl-CoA synth
acr,0.5,acyl-CoA synth
fta,0.416666666667,acyl-CoA synth
shm,0.5,acyl-CoA synth
lbr,0.538461538462,acyl-CoA synth
lbr,0.666666666667,acyl-CoA synth
eba,0.5,acyl-CoA synth
bcl,0.666666666667,acyl-CoA synth
tmr,0.384615384615,acyl-CoA synth
oih,0.538461538462,acyl-CoA synth
seu,0.0555555555556,acyl-CoA synth
vfi,0.277777777778,acyl-CoA synth
vfi,0.615384615385,acyl-CoA synth
rso,0.666666666667,acyl-CoA synth
lbl,0.5,acyl-CoA synth
apb,0.5,acyl-CoA synth
cgt,0.333333333333,acyl-CoA synth
brm,0.416666666667,acyl-CoA synth
pfr,0.0555555555556,acyl-CoA synth
bmc,0.615384615385,acyl-CoA synth
ter,0.461538461538,acyl-CoA synth
nha,0.615384615385,acyl-CoA synth
brm,0.307692307692,acyl-CoA synth
brm,0.333333333333,acyl-CoA synth
eci,0.5,acyl-CoA synth
syd,0.0555555555556,acyl-CoA synth
cpi,0.5,acyl-CoA synth
adn,0.5,acyl-CoA synth
rec,0.5,acyl-CoA synth
rec,0.5,acyl-CoA synth
hiq,0.416666666667,acyl-CoA synth
pak,0.0555555555556,acyl-CoA synth
pak,0.230769230769,acyl-CoA synth
tpr,0.5,acyl-CoA synth
sfx,0.615384615385,acyl-CoA synth
sps,0.0555555555556,acyl-CoA synth
hoh,0.416666666667,acyl-CoA synth
set,0.5,acyl-CoA synth
ngk,0.416666666667,acyl-CoA synth
mdi,0.333333333333,acyl-CoA synth
gvg,0.666666666667,acyl-CoA synth
fba,0.666666666667,acyl-CoA synth
lfe,0.538461538462,acyl-CoA synth
lcb,0.416666666667,acyl-CoA synth
hpp,0.416666666667,acyl-CoA synth
see,0.333333333333,acyl-CoA synth
trq,0.153846153846,acyl-CoA synth
rca,0.538461538462,acyl-CoA synth
mtc,0.222222222222,acyl-CoA synth
hya,0.5,acyl-CoA synth
sbo,0.111111111111,acyl-CoA synth
cpo,0.333333333333,acyl-CoA synth
cni,0.166666666667,acyl-CoA synth
geb,0.5,acyl-CoA synth
ckl,0.538461538462,acyl-CoA synth
ckl,0.416666666667,acyl-CoA synth
bgr,0.615384615385,acyl-CoA synth
sek,0.5,acyl-CoA synth
aeh,0.615384615385,acyl-CoA synth
cat,0.666666666667,acyl-CoA synth
sao,0.416666666667,acyl-CoA synth
pmh,0.538461538462,acyl-CoA synth
gem,0.333333333333,acyl-CoA synth
lby,0.615384615385,acyl-CoA synth
hdn,0.5,acyl-CoA synth
dvu,0.461538461538,acyl-CoA synth
bsn,1,acyl-CoA synth
mmb,0.5,acyl-CoA synth
chu,0.166666666667,acyl-CoA synth
chu,0.5,acyl-CoA synth
mmb,0.615384615385,acyl-CoA synth
fjo,0.5,acyl-CoA synth
dvu,0.5,acyl-CoA synth
cbe,0.416666666667,acyl-CoA synth
cgb,0.230769230769,acyl-CoA synth
enc,0.615384615385,acyl-CoA synth
cgb,0.5,acyl-CoA synth
rme,0.277777777778,acyl-CoA synth
blf,0.0769230769231,acyl-CoA synth
pmu,0.5,acyl-CoA synth
pmu,0.538461538462,acyl-CoA synth
bts,0.538461538462,acyl-CoA synth
ebd,0.222222222222,acyl-CoA synth
fps,0.5,acyl-CoA synth
sco,0.5,acyl-CoA synth
acr,0.5,acyl-CoA synth
bam,0.666666666667,acyl-CoA synth
rpk,0.230769230769,acyl-CoA synth
ssb,0.416666666667,acyl-CoA synth
syw,0.5,acyl-CoA synth
vok,0.5,acyl-CoA synth
cbg,0.166666666667,acyl-CoA synth
mbo,0.222222222222,acyl-CoA synth
bli,0.666666666667,acyl-CoA synth
cbg,0.333333333333,acyl-CoA synth
bai,0.538461538462,acyl-CoA synth
cpa,0.538461538462,acyl-CoA synth
rpr,0.416666666667,acyl-CoA synth
gbm,0.333333333333,acyl-CoA synth
avn,0.538461538462,acyl-CoA synth
cgl,0.166666666667,acyl-CoA synth
hif,0.5,acyl-CoA synth
tsc,0.666666666667,acyl-CoA synth
pub,0.333333333333,acyl-CoA synth
pub,0.5,acyl-CoA synth
chy,0.333333333333,acyl-CoA synth
gvi,0.0555555555556,acyl-CoA synth
ent,0.5,acyl-CoA synth
dps,0.5,acyl-CoA synth
cpc,0.538461538462,acyl-CoA synth
pcr,0.5,acyl-CoA synth
dpt,0.111111111111,acyl-CoA synth
pcr,0.5,acyl-CoA synth
aap,0.5,acyl-CoA synth
hms,0.333333333333,acyl-CoA synth
eam,0.5,acyl-CoA synth
eam,0.333333333333,acyl-CoA synth
mtt,0.5,acyl-CoA synth
aap,0.5,acyl-CoA synth
she,0.277777777778,acyl-CoA synth
cmu,0.416666666667,acyl-CoA synth
