ID,Phyla
rty,Spirochaetes
rty,Proteobacteria
cvi,Spirochaetes
cvi,Proteobacteria
bbu,Spirochaetes
bbu,Proteobacteria
ppr,Spirochaetes
ppr,Proteobacteria
gme,Spirochaetes
gme,Proteobacteria
bfl,Spirochaetes
bfl,Proteobacteria
las,Spirochaetes
las,Proteobacteria
bmb,Spirochaetes
bmb,Proteobacteria
sur,Spirochaetes
sur,Proteobacteria
hip,Spirochaetes
hip,Proteobacteria
rso,Spirochaetes
rso,Proteobacteria
ecp,Spirochaetes
ecp,Proteobacteria
rcp,Spirochaetes
rcp,Proteobacteria
rcm,Spirochaetes
rcm,Proteobacteria
ama,Spirochaetes
ama,Proteobacteria
bva,Spirochaetes
bva,Proteobacteria
rsc,Spirochaetes
rsc,Proteobacteria
bmi,Spirochaetes
bmi,Proteobacteria
mca,Spirochaetes
mca,Proteobacteria
hms,Spirochaetes
hms,Proteobacteria
bmr,Spirochaetes
bmr,Proteobacteria
geb,Spirochaetes
geb,Proteobacteria
rsq,Spirochaetes
rsq,Proteobacteria
bur,Spirochaetes
bur,Proteobacteria
psp,Spirochaetes
psp,Proteobacteria
eay,Spirochaetes
eay,Proteobacteria
xoo,Spirochaetes
xoo,Proteobacteria
pst,Spirochaetes
pst,Proteobacteria
psu,Spirochaetes
psu,Proteobacteria
esc,Spirochaetes
esc,Proteobacteria
buc,Spirochaetes
buc,Proteobacteria
esa,Spirochaetes
esa,Proteobacteria
pca,Spirochaetes
pca,Proteobacteria
bav,Spirochaetes
bav,Proteobacteria
xac,Spirochaetes
xac,Proteobacteria
slt,Spirochaetes
slt,Proteobacteria
glo,Spirochaetes
glo,Proteobacteria
aph,Spirochaetes
aph,Proteobacteria
dpr,Spirochaetes
dpr,Proteobacteria
hpa,Spirochaetes
hpa,Proteobacteria
dak,Spirochaetes
dak,Proteobacteria
ypm,Spirochaetes
ypm,Proteobacteria
bcd,Spirochaetes
bcd,Proteobacteria
sfx,Spirochaetes
sfx,Proteobacteria
baf,Spirochaetes
baf,Proteobacteria
das,Spirochaetes
das,Proteobacteria
bpy,Spirochaetes
bpy,Proteobacteria
bas,Spirochaetes
bas,Proteobacteria
she,Spirochaetes
she,Proteobacteria
gur,Spirochaetes
gur,Proteobacteria
rip,Spirochaetes
rip,Proteobacteria
vok,Spirochaetes
vok,Proteobacteria
jan,Spirochaetes
jan,Proteobacteria
avn,Spirochaetes
avn,Proteobacteria
vsa,Spirochaetes
vsa,Proteobacteria
bhy,Spirochaetes
bhy,Proteobacteria
prw,Spirochaetes
prw,Proteobacteria
pap,Spirochaetes
pap,Proteobacteria
lbi,Spirochaetes
lbi,Proteobacteria
set,Spirochaetes
set,Proteobacteria
lbj,Spirochaetes
lbj,Proteobacteria
rpa,Spirochaetes
rpa,Proteobacteria
pau,Spirochaetes
pau,Proteobacteria
pay,Spirochaetes
pay,Proteobacteria
cja,Spirochaetes
cja,Proteobacteria
cjd,Spirochaetes
cjd,Proteobacteria
hpy,Spirochaetes
hpy,Proteobacteria
rpf,Spirochaetes
rpf,Proteobacteria
pen,Spirochaetes
pen,Proteobacteria
rpk,Spirochaetes
rpk,Proteobacteria
oan,Spirochaetes
oan,Proteobacteria
vcj,Spirochaetes
vcj,Proteobacteria
nar,Spirochaetes
nar,Proteobacteria
dda,Spirochaetes
dda,Proteobacteria
bov,Spirochaetes
bov,Proteobacteria
pam,Spirochaetes
pam,Proteobacteria
cju,Spirochaetes
cju,Proteobacteria
mms,Spirochaetes
mms,Proteobacteria
plu,Spirochaetes
plu,Proteobacteria
sml,Spirochaetes
sml,Proteobacteria
ypn,Spirochaetes
ypn,Proteobacteria
lby,Spirochaetes
lby,Proteobacteria
nhl,Spirochaetes
nhl,Proteobacteria
hac,Spirochaetes
